id,name,yearpublished,rank,bayesaverage,average,usersrated,is_expansion,abstracts_rank,cgs_rank,childrensgames_rank,familygames_rank,partygames_rank,strategygames_rank,thematic_rank,wargames_rank
361545,"Twilight Inscription",2022,791,6.77575,7.40638,5130,0,,,,,,476,,
204472,"Sub Terra",2017,792,6.77538,7.36307,6184,0,,,,,,,197,
174785,"Mare Nostrum: Empires",2016,793,6.77538,7.51317,4393,0,,,,,,463,,97
3201,"Lord of the Rings: The Confrontation",2002,794,6.77407,7.22049,7206,0,,,,,,502,,
283864,"Trails of Tucana",2019,795,6.77308,7.36014,5256,0,,,,184,,,,
300905,"Top Ten",2020,796,6.77204,7.38629,5123,0,,,,,29,,,
205359,"Star Wars: Destiny",2016,797,6.76924,7.41153,5639,0,,32,,,,,,
316624,Stationfall,2023,798,6.76779,7.7053,3378,0,,,,,,,133,
270239,Moonrakers,2020,799,6.7673,7.69553,4045,0,,,,,,505,193,
21763,"Mr. Jack",2006,800,6.76667,6.96052,18964,0,,,,,,568,,
218603,Photosynthesis,2017,801,6.76496,6.92939,25804,0,62,,,237,,,,
163166,"One Night Ultimate Werewolf: Daybreak",2015,802,6.76492,7.27973,6457,0,,,,,40,,,
202670,"Ticket to Ride: Rails & Sails",2016,803,6.76463,7.42941,5344,0,,,,194,,,,
212445,"Blood Bowl (2016 Edition)",2016,804,6.76457,7.96814,2813,0,,,,,,,123,
266164,Babylonia,2019,805,6.76452,7.62351,3400,0,,,,,,436,,
338957,"Caesar!: Seize Rome in 20 Minutes!",2021,806,6.76446,7.50622,4085,0,,,,,,470,,
163839,Feudum,2018,807,6.76298,7.5833,4284,0,,,,,,472,,
346703,"7 Wonders: Architects",2021,808,6.76226,7.0321,13556,0,,,,220,,,,
121408,Trains,2012,809,6.76139,7.1157,8712,0,,,,,,517,,
296912,Fort,2020,810,6.76069,7.05882,11746,0,,,,,,551,,
132018,Churchill,2015,811,6.7604,7.6663,3438,0,,,,,,464,,45
69789,"Ascension: Deckbuilding Game",2010,812,6.75962,7.04514,14151,0,,,,,,583,,
279613,"Unlock!: Timeless Adventures",2019,813,6.75884,7.72108,3081,0,,,,,,,114,
193558,"The Oracle of Delphi",2016,814,6.7571,7.29829,5512,0,,,,,,486,,
214880,"Chicago 1875: City of the Big Shoulders",2019,815,6.75528,7.76029,3008,0,,,,,,428,,
283863,"The Magnificent",2019,816,6.75512,7.47558,4247,0,,,,,,469,,
29603,"D-Day at Omaha Beach",2009,817,6.75243,8.305,2085,0,,,,,,,,4
1513,"The Republic of Rome",1990,818,6.75204,7.53717,4317,0,,,,,,497,,
2955,Mexica,2002,819,6.75191,7.23863,6338,0,,,,,,499,,
113294,"Escape: The Curse of the Temple",2012,820,6.7511,6.94965,17537,0,,,,241,,,,
254708,"Roll Player Adventures",2021,821,6.7511,8.11253,2392,0,,,,,,,98,
284760,"Disney Villainous: Evil Comes Prepared",2019,822,6.74902,7.48447,4956,0,,,,205,,,,
242639,"Treasure Island",2018,823,6.74901,7.19887,7071,0,,,,212,,,202,
249381,"The Estates",2018,824,6.74858,7.42465,4323,0,,,,,,477,,
88,Torres,1999,825,6.74712,7.07827,10070,0,34,,,,,541,,
180511,Shakespeare,2015,826,6.74609,7.40162,4615,0,,,,,,484,,
231581,AuZtralia,2018,827,6.74604,7.33044,5256,0,,,,,,498,,
301255,"Whistle Mountain",2020,828,6.74576,7.51132,3887,0,,,,,,471,,
220517,"The Shipwreck Arcana",2017,829,6.74535,7.40264,4555,0,,,,,,503,,
198953,"Pax Renaissance",2016,830,6.74501,7.96196,2551,0,,,,,,431,129,
148729,Maquis,2013,831,6.74471,7.45291,4433,0,,,,,,514,175,
318560,Witchstone,2021,832,6.74394,7.49572,4010,0,,,,,,479,,
