games_id,name,yearpublished,rank,average,usersrated,abstracts_rank,familygames_rank,partygames_rank,strategygames_rank,thematic_rank,wargames_rank,images,thumbnails,prices
189932,Tyrants of the Underdark,2016,163,7.91455,10699,0.0,0.0,0.0,120.0,0.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/3/img_17603_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/3/img_17603_THUMBNAIL.png,52.97
172287,Champions of Midgard,2015,164,7.70395,18697,0.0,0.0,0.0,136.0,0.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/79/img_15879_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/79/img_15879_THUMBNAIL.png,46.97
220877,Rajas of the Ganges,2017,165,7.72155,15956,0.0,0.0,0.0,127.0,0.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/85/img_21085_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/85/img_21085_THUMBNAIL.png,48.98
429293,The Lord of the Rings: The Fellowship of the Ring – Trick-Taking Game,2025,166,7.97407,8654,0.0,21.0,0.0,0.0,0.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/2/img_76502_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/2/img_76502_THUMBNAIL.png,31.99
258779,Planet Unknown,2022,168,7.76335,13821,0.0,23.0,0.0,128.0,0.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/69/img_36769_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/69/img_36769_THUMBNAIL.png,64.47
304783,Hadrian's Wall,2021,169,7.87697,10479,0.0,0.0,0.0,122.0,0.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/90/img_38190_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/90/img_38190_THUMBNAIL.png,52.870000000000005
30549,Pandemic,2008,170,7.5148,134457,0.0,36.0,0.0,177.0,0.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/12/img_12_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/12/img_12_THUMBNAIL.png,44.99
132531,Roll for the Galaxy,2014,171,7.56495,33510,0.0,0.0,0.0,143.0,0.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/3/img_7303_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/3/img_7303_THUMBNAIL.png,49.97
118048,Targi,2012,172,7.5889,26542,0.0,0.0,0.0,141.0,0.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/27/img_3927_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/27/img_3927_THUMBNAIL.png,23.97
235802,Too Many Bones: Undertow,2018,173,8.65235,3964,0.0,0.0,0.0,86.0,16.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/59/img_29959_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/59/img_29959_THUMBNAIL.png,99.95
147020,Star Realms,2014,174,7.5523,47807,0.0,0.0,0.0,162.0,0.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/94/img_7494_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/94/img_7494_THUMBNAIL.png,33.97
266524,PARKS,2019,175,7.61957,30409,0.0,28.0,0.0,0.0,0.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/91/img_28791_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/91/img_28791_THUMBNAIL.png,53.99
161970,Alchemists,2014,176,7.63765,24335,0.0,0.0,0.0,144.0,0.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/26/img_13426_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/26/img_13426_THUMBNAIL.png,54.99
14996,Ticket to Ride: Europe,2005,177,7.52395,84880,0.0,34.0,0.0,0.0,0.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/6/img_306_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/6/img_306_THUMBNAIL.png,51.99
209418,Dominion: Second Edition,2016,178,7.82244,12680,0.0,0.0,0.0,142.0,0.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/71/img_19371_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/71/img_19371_THUMBNAIL.png,38.97
263918,Cartographers,2019,179,7.55716,35784,0.0,29.0,0.0,0.0,0.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/42/img_28842_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/42/img_28842_THUMBNAIL.png,26.99
262712,Res Arcana,2019,180,7.6147,25546,0.0,0.0,0.0,145.0,0.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/71/img_27871_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/71/img_27871_THUMBNAIL.png,40.99
268864,Undaunted: Normandy,2019,181,7.76795,14077,0.0,0.0,0.0,0.0,0.0,30.0,https://d2qg6c07ydxh2f.cloudfront.net/items/89/img_29889_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/89/img_29889_THUMBNAIL.png,39.47
249259,War Chest,2018,182,7.82653,12338,5.0,0.0,0.0,0.0,0.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/88/img_24088_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/88/img_24088_THUMBNAIL.png,44.99
271324,It's a Wonderful World,2019,183,7.62951,22955,0.0,0.0,0.0,146.0,0.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/80/img_29780_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/80/img_29780_THUMBNAIL.png,54.99
77423,The Lord of the Rings: The Card Game,2011,184,7.66246,25053,0.0,0.0,0.0,0.0,0.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/5/img_805_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/5/img_805_THUMBNAIL.png,53.95
274364,Watergate,2019,185,7.72158,14100,0.0,0.0,0.0,137.0,0.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/60/img_29960_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/60/img_29960_THUMBNAIL.png,32.97
358661,Andromeda's Edge,2024,186,8.26519,5824,0.0,0.0,0.0,104.0,0.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/58/img_44258_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/58/img_44258_THUMBNAIL.png,64.99000000000001
34635,Stone Age,2008,187,7.51167,55681,0.0,35.0,0.0,166.0,0.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/12/img_112_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/12/img_112_THUMBNAIL.png,48.99
328871,Terraforming Mars: Ares Expedition,2021,188,7.63917,20904,0.0,0.0,0.0,150.0,0.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/89/img_39189_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/89/img_39189_THUMBNAIL.png,39.99
148949,Istanbul,2014,189,7.53675,33550,0.0,32.0,0.0,152.0,0.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/58/img_8758_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/58/img_8758_THUMBNAIL.png,34.99
294484,Unmatched: Cobble & Fog,2020,190,7.92735,9512,0.0,0.0,0.0,138.0,0.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/86/img_33786_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/86/img_33786_THUMBNAIL.png,34.97
308765,Praga Caput Regni,2020,191,7.83903,10416,0.0,0.0,0.0,132.0,0.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/89/img_36389_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/89/img_36389_THUMBNAIL.png,29.97
281259,The Isle of Cats,2019,192,7.6179,25042,0.0,31.0,0.0,159.0,0.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/31/img_30131_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/31/img_30131_THUMBNAIL.png,39.97
400602,Civolution,2024,193,8.19444,5617,0.0,0.0,0.0,108.0,0.0,0.0,https://d2qg6c07ydxh2f.cloudfront.net/items/72/img_73072_MAIN.png,https://d2qg6c07ydxh2f.cloudfront.net/items/72/img_73072_THUMBNAIL.png,94.98
